Question,Answer
"Here is a translation in Russian: Последние 8 лет своей жизни Галилей находился под домашним арестом за то, что поддерживал теорию этого человека.","Вы - полезный помощник, который переводит текст с английского на русский."
"No. 2: Олимпийский чемпион 1912 года; звезда футбола в индейской школе Карлисл; 6 сезонов в МЛБ с командами Reds, Giants и Braves","Ты полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: Город Юма в этом штате имеет рекордный средний показатель солнечного света за год — 4055 часов.,Here is a translation in Russian:Аризона
В 1963 году в прямом эфире на шоу Арта Линклертера эта компания подала миллиардный бургер.,Макдональдс
"Here is the requested translation in Russian: Подписавший Декларацию независимости, автор Конституции штата Массачусетс, второй президент Соединенных Штатов.","Here is a translation in Russian:
Вы - полезный помощник, который переводит текст с английского на русский."
Here is a translation in Russian: В названии басни Эзопа это насекомое фигурировало вместе с кузнечиком.,"Here is a translation in Russian:андройд-помощник, который переводит текст с английского на русский."
"Построенный в 312 году до н.э., чтобы связать Рим и юг Италии, он используется по сей день","Translation provided:
Апианский путь"
No. 8: 30 перехватов за Барронами из Бирмингема; 2306 перехватов за Буллз,Here is a translation in Russian:Михаэль Джордан
Зимой 1971–1972 годов на станции Рейнир Парайзер Ренджер в этом штате выпало рекордное количество снега — 340 сантиметров.,Ваш помощник поможет вам перевести текст с английского на русский.
"Этот магазин товаров для дома был назван в честь упаковки, в которой продавалась его продукция и которая была впервые показана на","Translation provided:
Крейт энд Баррелль."
"Translation provided:
И мы уходим.",Here is a translation in Russian:Джеки Глисон.
Here is a translation in Russian: Коровы выкатывают это из первого желудка в рот и снова пережевывают.,"Here is a translation in Russian:помощник, который переводит текст с английского на русский."
"Translation provided:
В 1000 году Раджараджа I из клана Чола боролся за то, чтобы завоевать этот остров в Индийском океане, который сейчас известен своим чаем.","Ты полезный помощник, который переводит текст с английского на русский."
"No. 1: В баскетболе и лакроссе в Сиракузах он играл за команду, и если вы думаете, что он не умеет играть, спросите его одиннадцать «нечистых» друзей","Ты полезный помощник, который переводит текст с английского на русский."
Начиная с 28 июня 1994 года национальная метеорологическая служба начала использовать этот индекс для оценки интенсивности солнечного излучения,УФ-индекс
"Этот Accutron компании часы, представленные в 1960 году, имели гарантию точности до одной минуты в месяц.","Вы - полезный помощник, который переводит текст с английского на русский."
"Here is a translation in Russian:
Преступник: «Убит предателем и трусом, чьё имя не достойно здесь упоминания».",Here is a translation in Russian:Джесси Джеймс
Маленький демон или непослушный ребёнок (который может быть маленьким демоном),"Вы - полезный помощник, который переводит текст с английского на русский."
"Карл возглавил первое из этих марксистских организационных начинаний, а второе началось в 1ль889 году.","Ты полезный помощник, который переводит текст с английского на русский."
"No. 10: ФБ/ЛБ за Колумбийский университет в 1920-х годах; МВП за Янкиз в 1ль27 и 1936 годах; ""Гибралтар на кроссовках""","Here is a translation in Russian:
(Лу) Гериг"
"Самая низкая температура в Африке была зафиксирована в 1935 году в Ифран, к югу от Феса, в этой стране.",Марокко
"Эдвард Теллер и этот человек объединились в 1898 году, чтобы продавать модную одежду женщинам.","Translation provided:
(Пол) Бонвит."
"Вы - полезный помощник, который переводит текст с английского на русский.","Here is a translation in Russian:Хэтти МакДэниел (за роль в фильме ""Унесенные ветром"")"
"В геологическом времени один из них, короче эона, делится на периоды и подразделяется на эпохи.","Вы - полезный помощник, который переводит текст с английского на русский."
Эта азиатская политическая партия была основана в 1885 году с «индийским национализмом» как частью своего названия.,Конгресс-партия
