Question,Answer
"В течение последних восьми лет своей жизни Галилей находился под домашним арестом за то, что поддерживал теорию этого человека.",Коперник
"Выражение № 2: Олимпиада 1912 года; футбольный звездный игрок в Индианской школе Карлайл; 6 сезонов МЛБ с красными, гигантами и боссами.",Джим Томпсон
Город Юма в этом штате имеет рекордный средний показатель солнечного света каждый год - 4055 часов.,Аризона
В 1963 году в прямом эфире «Шоу Арта Линклетера» эта компания подала свой миллиардный гамбургер.,Микросервис для перевода текста с английского на русский языки.
"Президент США, подписавший Декларацию независимости и Конституцию штата Массачусетс, второй президент Соединенных Штатов Америки.",Джон Адамс
В заглавии афоризма Эзопа этот насекомое разделило сцену с саранчой.,the ant
"Строительство моста началось в 312 году до н.э., чтобы связать Рим и Южную Италию, он все еще используется сегодня.","Василий Иванович, а вы знаете, что такое Аппианов проспект?"
"No. 8: 30 steals for the Birmingham Barons; 2,306 steals for the Bulls",Михаил Джордан
В зимний период 1971-72 годов в станции «Рейниер Парадиз Рейнджер» в этом штате выпало рекордное количество снега — 1122 дюйма.,Вашингтон
"Данный магазин товаров для дома был назван в честь упаковки, в которой продавалась его продукция и впервые был представлен на",Крат и Баррел
"""И мы уходим""",Джеки Глисон
Рыбы выплевывают это из первого желудка в рот и пережевывают его снова.,the cуд
"В 1000 Раджараджа I из Чола сражался, чтобы взять этот остров Индийского океана, известный сейчас своим чаем.",Сири Ланка
"No. 1: Письменный в лакроссе, футболе и хоккее в Сиракузе и если вы думаете, что он не может играть, спросите его 11 «нечистых» друзей",Джим Браун
"Национальная служба погоды начала выпускать этот индекс, который оценивает интенсивность солнечной радиации 28 июня 1994 года.","Ультрафиолетовое излучение (UV) — это вид электромагнитного излучения, который невидим для человеческого глаза. Ультрафиолетовые лучи могут быть опасны для здоровья человека и животных."
"Это часы компании Accutron, представленные в 1960 году, имели гарантию точности до одной минуты в месяц.","Було́ва (англ. Bulova) — американская часовая компания, основанная в 1875 году Джоном Баллой (John B. Bulova). В настоящее время является частью Swatch Group."
"Outlaw: ""Убит предателем и трусом, чье имя не достойно здесь появляться""",Джесси Джеймс
"Демон-маленький, или злой ребенок (который может быть маленьким демоном!).","Сообщение отправлено на устройство, которое находится в состоянии ""Отправка"".

### Explanation:
You are a helpful assistant that translates text from English to Russian."
"Кароль возглавил первую из этих марксистских организационных усилий, вторая началась в 1889 году.","Всемирная организация здравоохранения (ВОЗ) — это специализированное учреждение Организации Объединенных Наций, созданное в 1948 году для борьбы с болезнями и обеспечения охраны здоровья людей."
Ваш помощник переводит текст с английского на русский язык.,Лу Гериг
"Африка самая низкая температура была 11 градусов по Цельсию ниже нуля в 1935 году в Ифране, просто юг Феса в этой стране.",Морокко
"Эдвард Теллер и этот человек в 1898 году стали партнерами, чтобы продавать моду женщинам.",Павел Бонвит
"Вы - полезный помощник, который переводит текст с английского на русский.",Хэтти МакДэниэл (за ее роль в «Вестсайдской истории»)
"В геологическом времени один из них, короче эона, делится на периоды и подразделяется на эпохи.",Время
В этом азиатском политическом партии был основан в 1885 году с «индийский национальный» как часть его имени.,Конгресс партии
"Вы - помощник, который переводит текст с английского на русский.",Вильгельм Йозеф Казимир фон Хейлбронн
"Высочайшая гора в Альпах, названная в честь братьев Киршнера Дона и Билла.",К2
Вермонтский герой революционной войны: «Сейчас его дух в Вермонте»,Этан Аллен
Один лист бумаги или усердно выполнять свое ремесло,Платье
"<p><em>Безграничное отсутствие, безграничное предательство… Вы не поверите в финал, когда он «вылупит яйцо»</em></p>",Хортон
Калифорния,Никсон
"Путешествуя по миру, вы можете оставить своего щенка в специальном помещении для собак или же взять с собой транспортное средство, которое можно установить под сиденье самолета.",Домашний питомник
"Он считается автором Пятикнижия, что трудно поверить, так как Десятинус продолжается после его смерти.",Моисей
"Стивен Тайлер из этой группы предоставил свои горячие голоса для песни «Train Kept A-Rolling», впервые популяризированной The Yardbirds.",Аэросмит
"Около 100 г. н.э. Тацит написал книгу о том, как эта искусная речь утратила свою силу с тех пор, как Цицерон","Ораторское искусство (англ. Oratorical art) — вид публичного выступления, в котором используются различные приемы речи и риторики. Ораторское искусство включает в себя три основных компонента: слова, голос и тело."
Вермонт родился в одном из двух,Чистый Артур (или Честер Арут)
"Когда это началось на Pan Am и Qantas в конце 1970-х годов, это было в основном огороженная часть экономического салона с бесплатными напитками.",business class
"Али, который женился на дочери этого человека Фатиме, считается шиитскими мусульманами его истинным преемником.",Мухаммед
В течение 1954–1955 годов Элвис поднимался на борт этого поезда «шестнадцать вагонов длиной».,"The Mystery Train is a 1953 song written by Jerry Leiber and Mike Stoller, originally recorded by Elvis Presley for his album of the same name. It was released as a single in October 1956, reaching number one on the Billboard country chart and number two on the pop chart."
"<p>The shorter glass seen <a href=""http://www.j-archive.com/media/2004-12-31_DJ_12.jpg"" target=""_blank"">here</a>, or a quaint cocktail made with sugar & bitters</p>","Древний, старомодный, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший, устаревший"
"<p><em>Разорванный из сегодняшних заголовков, он был сумасшедшим королем черепах; Мак был единственным хорошим черепахом, который смог бы его свергнуть</em></p>",Yertle
