Question,Answer
Последние восемь лет своей жизни Галилей провел под домашним арестом за поддержку этой теории.,Коперник
"№ 2: Олимпиец-1912 года рождения; звезда футбола в школе для индейцев Карлайл; шесть сезонов в МЛБ за команды ""Редс"", ""Гантс"" и ""Браves"".",Джим Торп
В городе Юма в этом штате каждый год выпадает рекордное количество солнечных часов – 4055.,Аризона
В 1963 году в эфире шоу Арта Линклетера эта компания подала свой миллиардный гамбургер.,Малкольмс
"Подписавший Декларацию Независимости, составитель Конституции Массачусетса, второй президент Соединенных Штатов Америки",Джон Адамс
В названии одной из аифорий Исаофа этот жук выступал в роли соавтора вместе с поленом,Муравьёв
"Построен в 312 г. до н.э., чтобы связать Рим и Юг Италии, он все еще используется сегодня",Appian Way
№8: 30 краж за «Бёрмингем Бэронс»; 2306 краж за «Буллз»,Майкл Джордан
Зимой 1971–1972 годов на станции рейнир-парадиз в штате рекордные 1122 дюйма снега выпало.,Вашингтон
"Магазин товаров для дома назывался так из-за упаковки, в которую поставлялись товары, и впервые был представлен на",Crate & Barrel
И вот мы идем!,Джеки Глисон
Коровы выплевывают этот ком из первого желудка в рот и пережевывают его снова,куд
"В 1000 году Раджараджа I из Чола сражался за остров в Индийском океане, который сейчас известен своим чаем.",Цейлон (или Шри-Ланка)
"№1: Набирался в команды по баскетболу и лакроссу в Сиракузах, а если вы думаете, что он не умеет сниматься, спросите у его 11 друзей-нечистых.",Джим Браун
"28 июня 1994 года Национальная служба погоды начала выдавать этот индекс, который оценивает интенсивность солнечного излучения.",УФ-индекс
"Часы Accutron этой компании, представленные в 1960 году, были гарантированно точны до одного часа в месяц.",Булова
"Незаконный: «Убит предателем и трусом, чье имя не заслуживает упоминания»",Джесси Джеймс
Маленький демон или непослушный ребенок (может быть и маленький демон!),imp
"Карл возглавил первое из этих марксистских организационных начинаний, второе началось в 1889 году.",Международный
№ 10: ФБ/ЛБ в Колумбийском университете в 1920-х; МВП для Янкиз в 1927 и 1936 годах; «Гибралтар в шлепанцах»,(Луи) Гериг
"Самая низкая температура в Африке – 11 градусов ниже нуля (1935 год) в Ифране, недалеко от Феса.",Марокко
"Эдвард Теллер и этот человек в 1898 году объединились, чтобы продавать женщинам модные вещи.",(Поль) Бонвит
"Победитель Оскара 1939 года: ""...вы пример для подражания в своей профессии, своем народе и семье""",Хэтти МакДэниел (за роль в фильме «Унесенные ветром»)
"В геологическом времени один из этих периодов короче, чем эон, и делится на эпохи и подэпохи.",Эпоха
"Эта азиатская политическая партия была основана в 1885 году, и в ее названии присутствует слово «индийский».",Конгресс Партия
"№5: Только центровый, который лидирует в НБА по результатам передачи мяча; обучался в университете Канзаса; бегун на длинные дистанции; волейболист.",(Уилт Чемберлен)
"Братья Киршнер, Дон и Билл, назвали свою компанию в честь себя и второй по высоте горы.",K2
Герой революционной войны: «Его дух сейчас в Вермонте»,Итан Аллен
Один слой бумаги или усердно трудиться ради своего дела,ply
"<a href=""http://www.j-archive.com/media/2004-12-31_DJ_23.mp3"">За пределами оvoid пренебрежения, за пределами ovoid измены... ты не поверишь в финал, когда он ""Вылудит яйцо"" </a>",Хоптон
Калифорния,Никсон
