Question,Answer
"(Kelly of the Clue Crew is in a practice room at the Dance Theatre of Harlem in New York. A dancer is practicing in the background.) The Dance Theatre of Harlem has brought ballet around the world, including giving China's first performance of this 1910 Stravinsky work with an elusive title character",The Firebird
"This Olympic event utilizes both a pistol & a sword, but not at the same time",modern pentathlon
"On December 6, some people celebrate St. Nicholas; others, this cold Spanish soup",gazpacho
"Life as Fergie knows it includes marriage to this star of ""Life as we Know It""",Josh Duhamel
"One of the ""Last Poems"" by this ""Shropshire lad"" guy says, ""Happy bridegroom, Hesper brings all desired and timely things""",(A.E.) Housman
A small bunch of flowers,a nosegay
"""Luxury must be comfortable, otherwise it is not luxury"" was the maxim of this French fashion designer",(Coco) Chanel
"Oogenesis is the formation, development & maturation of one of these",an egg
"The ""home of golf"", it's also home to Scotland's oldest university",St. Andrews
"""Rah"" is a shortening of this word",hurrah
"China's Jianwen & Wanli; nice vases , fellas",Ming
"When this '80s action series was brought to the big screen in 2010, Rampage Jackson got the role of B.A. Baracus",The A-Team
"In 2010 Oprah gave 50 brides-to-be wedding dresses by this designer, a guest on the show",Vera Wang
"In scientific classification, it immediately follows kingdom, phylum, class...",order
This Caribbean island that's paired with Nevis is also known as St. Christopher,St. Kitts
"""The sound made when a sheep explodes"" was Carnac the Magnificent's response to this 3-syllable cheer",sis boom bah
Russia's Ivan VI & Nicholas I,Romanov
"Once a regular on ""A Different World"" he had a 2010 comedy special subtitled ""Where U Been?""",Sinbad
"This designer seen here celebrates the exuberant, the embellished, and the over-the-top",Betsey Johnson
Visual purple is a photosensitive pigment found in the rod-shaped cells of this part of the eye,the retina
This capital of Newfoundland & Labrador is the eastern starting point of the Trans-Canada Highway,St. John's
"CCNY's ""Allagaroo"" cheer is said to come from ""allez guerre"", French for ""go to"" this",war
France's Louis XIII-XVI,Bourbon
Colin Farrell & Jamie Foxx hit the streets as Crockett & Tubbs in the movie based on this '80s fave,Miami Vice
"After her brother Gianni died in 1997, this woman became the head designer of his label",Donatella Versace
"Types of these, such as methionine & leucine, link up to form proteins",amino acids
"The site of 2 winter Olympics, this Swiss town has also hosted several Alpine world ski championships",St. Moritz
"Yalies once cheered, ""Brek-ek-ek-ex, ko-ax, ko-ax"", the chorus of these creatures in an Aristophanes play",frogs
England's Henry VII & Edward VI,Tudor
"Even with Val Kilmer as the voice of K.I.T.T., a remake of this '80s show failed to gain traction with viewers",Knight Rider
"Kate Middleton's wedding dress was designed by Sarah Burton, of this late British designer's fashion house",Alexander McQueen
"The name of this portion of the brainstem means ""the long marrow""",medulla oblongata
"Charlotte Amalie, the capital of the U.S. Virgin Islands, is located on this island",St. Thomas
"""Rock chalk, Jayhawk,"" is followed by these 2 school letters",KU
Spain's Charles I & II,Hapsburg
"In the '80s he was a staple of ""Wrestlemania""; he ""Knows Best"", according to the 2005 reality show about him",Hulk Hogan
"This classic book begins, ""The pretty little Swiss town of Mayenfeld lies at the foot of a mountain range""",Heidi
This drink created in 1969 is basically a Bloody Mary mix with a tiny bit of mollusk broth in the recipe,Clamato
Colonial Americans invented this girls' name by combining Sam from Samuel with the Greek for flower,Samantha
"""Death in ____"" & ""The Merchant of ___""",Venice
A public showing of a residence that's for sale,an open house
